category	kaomoji	description
/╲/\╭༼ ººل͟ºº ༽╮/\╱\	Spider	
/╲/\╭( ͡°͡° ͜ʖ ͡°͡°)╮/\╱\	Spider	
/╲/\╭[ ᴼᴼ ౪ ᴼᴼ]╮/\╱\	Spider	
/╲/\( •̀ ω •́ )/\╱\	Spider	
/╲/\╭[☉﹏☉]╮/\╱\	Spider	
ヾ(・ω・)メ(・ω・)ノ	Friends	
ヽ(∀° )人( °∀)ノ	Friends	
ヽ( ⌒o⌒)人(⌒-⌒ )ﾉ	Friends	
(*^ω^)八(⌒▽⌒)八(-‿‿- )ヽ	Friends	
＼(＾∀＾)メ(＾∀＾)ノ	Friends	
ヾ(￣ー￣(≧ω≦*)ゝ	Friends	
ヽ( ⌒ω⌒)人(=^‥^= )ﾉ	Friends	
ヽ(≧◡≦)八(o^ ^o)ノ	Friends	
(*・∀・)爻(・∀・*)	Friends	
｡*:☆(・ω・人・ω・)｡:゜☆｡	Friends	
o(^^o)(o^^o)(o^^o)(o^^)o	Friends	
(((￣(￣(￣▽￣)￣)￣)))	Friends	
(°(°ω(°ω°(☆ω☆)°ω°)ω°)°)	Friends	
ヾ(・ω・`)ノヾ(´・ω・)ノ゛	Friends	
Ψ( `∀)(∀´ )Ψ	Friends	
(っ˘▽˘)(˘▽˘)˘▽˘ς)	Friends	
(((*°▽°*)八(*°▽°*)))	Friends	
☆ヾ(*´・∀・)ﾉヾ(・∀・`*)ﾉ☆	Friends	
(*＾ω＾)人(＾ω＾*)	Friends	
٩(๑･ิᴗ･ิ)۶٩(･ิᴗ･ิ๑)۶	Friends	
(☞°ヮ°)☞ ☜(°ヮ°☜)	Friends	
＼(▽￣ \ (￣▽￣) / ￣▽)／	Friends	
\( ˙▿˙ )/\( ˙▿˙ )/	Friends	
ヽ( ･∀･)ﾉ_θ彡☆Σ(ノ `Д´)ノ	Enemies	
(*´∇`)┌θ☆(ﾉ>_<)ﾉ	Enemies	
( ￣ω￣)ノﾞ⌒☆ﾐ(o _ _)o	Enemies	
